id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,reviews_per_month,neighbourhood
1391697449450564608,Yes,Downtown,Entire rental unit,Entire home/apt,5,2,2,337,4.83,4.11,Downtown
1391966161527767296,Unknown,Downtown,Entire rental unit,Entire home/apt,5,1,2,165,4.97,4.82,Downtown
1392148616885215232,Yes,Downtown,Other,Entire home/apt,6,2,2,270,5,0.27,Downtown
1392160667217320704,Yes,Downtown,Entire rental unit,Entire home/apt,2,1,0,183,NA,NA,Downtown
1392227986696908544,Yes,Shaughnessy,Private room in home,Private room,2,1,1,128,4.63,2.42,Other
1392257618928926208,Yes,Shaughnessy,Private room in home,Private room,3,1,1,178,5,0.67,Other
1392832569752927488,No,Downtown,Entire rental unit,Entire home/apt,6,2,2,176,4.68,3.69,Downtown
1393004612460724480,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,198,4.6,2.01,Downtown
1393445053892209920,Yes,Renfrew-Collingwood,Entire home,Entire home/apt,4,1,2,96,5,1.4,Other
1393871477144710400,No,Dunbar Southlands,Entire home,Entire home/apt,6,2,3,277,4.76,5.47,Other
1393891312863247872,No,Hastings-Sunrise,Private room in home,Private room,1,1,1,30,NA,NA,Other
1394412973045976576,Yes,Mount Pleasant,Entire home,Entire home/apt,5,2,2,153,5,6.91,Mount Pleasant
1395221376166559744,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,4,1,1,709,5,1.65,Downtown Eastside
1395267690799813376,Yes,Downtown,Entire rental unit,Entire home/apt,4,1,2,202,4.65,4.29,Downtown
1395736767737863936,No,Downtown,Entire condo,Entire home/apt,5,2,3,165,4.6,4.44,Downtown
1395856782686200832,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,120,NA,NA,Downtown
1395934415170106624,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,7,2,3,200,4.79,6.21,Downtown Eastside
1396391566427256576,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,120,NA,NA,Downtown
1396430932171554304,Yes,Victoria-Fraserview,Other,Entire home/apt,3,1,2,114,4.87,3.47,Other
1396471506309164800,No,Riley Park,Entire home,Entire home/apt,4,1,2,126,4.58,5.63,Other
1397300781380358400,No,West End,Entire rental unit,Entire home/apt,4,1,1,150,NA,NA,Other
1397326823069733888,No,West End,Entire rental unit,Entire home/apt,4,1,1,170,NA,NA,Other
1397631253457097728,Yes,West End,Entire condo,Entire home/apt,4,1,2,172,4.83,6.06,Other
1397770316215903232,Yes,Downtown,Entire condo,Entire home/apt,4,1,2,176,4.71,5.26,Downtown
1397810000220067072,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,2,1,1,162,4.81,4.08,Downtown Eastside
1397852246467728384,No,Hastings-Sunrise,Entire home,Entire home/apt,3,1.5,2,157,5,3.14,Other
1398230796491890944,No,Shaughnessy,Entire home,Entire home/apt,14,3,6,336,4.75,5.38,Other
1398232054662861056,Yes,Victoria-Fraserview,Other,Entire home/apt,5,1,2,107,5,5.13,Other
1398569335863218432,No,Downtown,Other,Shared room,1,0,1,63,4.5,0.44,Downtown
1398636268100552704,No,Downtown,Other,Shared room,1,0,1,63,5,0.92,Downtown
1398701002396108544,No,Downtown,Other,Shared room,1,0,1,61,4.44,5.47,Downtown
1398705731003089408,No,Downtown,Other,Shared room,1,0,1,61,4.33,0.66,Downtown
1398743342927589888,Yes,Kensington-Cedar Cottage,Other,Entire home/apt,6,1,2,118,4.77,6.88,Other
1398752690731691776,No,Kensington-Cedar Cottage,Other,Entire home/apt,4,1,1,119,4.75,3.56,Other
1398799627015047936,Yes,Downtown,Entire condo,Entire home/apt,6,2,3,205,4.87,5.85,Downtown
1398988274172283392,Yes,Victoria-Fraserview,Private room in home,Private room,2,1,1,88,4.92,4.1,Other
